player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Tack Summers,Tack,Summers,,,R,,LF,NA,1923,1928,"6/25/1900								 (Fayetteville, TN)",
Antonio Susini,Antonio,Susini,"5'8""",,R,R,SS,NA,1921,1921,"1901								 (Havana, Cuba)",
Mule Suttles,Mule,Suttles,"6'1""",200,R,R,1B,NA,1923,1944,"3/31/1901								 (Blocton, AL)","7/9/1966								 (Newark, NJ)"
Jack Sutton,Jack,Sutton,,,,,3B,NA,1911,1911,,
Swan,NA,Swan,,,,,SS,NA,1933,1933,,
Nolan Swancy,Nolan,Swancy,"5'7""",167,,,P,NA,1924,1924,"11/4/1896								 (Hubbard, TX)","7/14/1964								 (Waxahachie, TX)"
George Sweatt,George,Sweatt,"6'2""",190,R,R,CF,NA,1922,1927,"12/7/1893								 (Humboldt, KS)","7/19/1983								 (Los Angeles, CA)"
Murray Swiggett,Murray,Swiggett,,,,,LF,NA,1911,1917,"6/20/1888								 (Millington, MD)","10/25/1941								 (Philadelphia, PA)"
Doc Sykes,Doc,Sykes,"6'2""",185,R,R,P,NA,1913,1924,"4/10/1892								 (Decatur, AL)","11/10/1986								 (Baltimore, MD)"
Melvin Sykes,Melvin,Sykes,"6'5""",195,R,R,LF,NA,1926,1926,"1/10/1901								 (Decatur, AL)","3/1984								 (Decatur, AL)"
Danger Talbert,Danger,Talbert,,,,R,3B,NA,1901,1911,"3/8/1878								 (Platte City, MO)","1913								 (Omaha, NE)"
Frank Talbott,Frank,Talbott,,,,L,P,NA,1907,1909,,
Kid Talley,Kid,Talley,,,,,P,NA,1934,1934,,
Tanner,NA,Tanner,,,,,3B,NA,1933,1933,,
John Tapley,John,Tapley,"6'0""",158,,R,3B,NA,1933,1933,"9/22/1911								 (Winona, MS)","12/26/1956								 (Pontiac, MI)"
Townsend Tapley,Townsend,Tapley,"5'9""",161,,R,SS,NA,1933,1933,"2/10/1913								 (Winona, MS)","1/6/1993								 (Omaha, NE)"
Roosevelt Tate,Roosevelt,Tate,"5'9""",160,R,R,CF,NA,1932,1937,"3/10/1911								 (Bessemer, AL)","12/25/1968								 (Bessemer, AL)"
William Tate,William,Tate,,,,,P,NA,1915,1917,,
Taylor,NA,Taylor,,,,,P,NA,1935,1935,,
Taylor,NA,Taylor,,,,,3B,NA,1920,1920,,
Alfred Taylor,Alfred,Taylor,,,R,R,1B,NA,1933,1933,,
Ben Taylor,Ben,Taylor,"5'11""",175,L,L,1B,NA,1909,1929,"7/1/1888								 (Anderson, SC)","1/24/1953								 (Baltimore, MD)"
C. I. Taylor,C. I.,Taylor,"5'10""",170,R,R,2B,NA,1907,1921,"1/20/1875								 (Anderson, SC)","2/23/1922								 (Indianapolis, IN)"
Candy Jim Taylor,Candy,Taylor,"5'5""",165,R,R,3B,-,1907,1942,"2/1/1884								 (Anderson, SC)","4/3/1948								 (Chicago, IL)"
George Taylor,George,Taylor,,,,,1B,NA,1897,1907,9/1869 (birthplace unknown),
H. C. Taylor,H. C.,Taylor,,,,,LF,NA,1887,1887,,
Jelly Taylor,Jelly,Taylor,"5'11""",230,L,L,1B,NA,1936,1946,"7/10/1910								 (London, OH)","10/1/1976								 (Cleveland, OH)"
John Taylor,John,Taylor,,,,R,P,NA,1920,1925,,
Johnny Taylor,Johnny,Taylor,"6'0""",165,R,R,P,NA,1935,1945,"2/4/1916								 (Hartford, CT)","6/15/1987								 (Hartford, CT)"
LeRoy Taylor,LeRoy,Taylor,"5'11""",175,L,R,RF,NA,1925,1936,"8/11/1902								 (Marshall, TX)","3/7/1968								 (Los Angeles, CA)"
Pat Taylor,Pat,Taylor,"5'10""",200,,,RF,NA,1922,1922,"1/2/1899								 (Petersburg, VA)","11/1979								 (Harrisburg, PA)"
Raymond Taylor,Raymond,Taylor,"5'11""",165,R,R,LF,C,1932,1944,"1910								 (Memphis, TN)",
Sam Taylor,Sam,Taylor,"6'0""",208,,,1B,NA,1926,1926,"2/26/1898								 (Doswell, VA)","4/1/1966								 (Lexington, KY)"
Steel Arm Johnny Taylor,Steel,Taylor,"5'5""",168,R,R,P,NA,1907,1920,"8/12/1879								 (Anderson, SC)","3/25/1956								 (Peoria, IL)"
Walter Taylor,Walter,Taylor,,,,R,P,NA,1905,1909,,
Tenny,NA,Tenny,,,,,2B,NA,1936,1936,,
William Tenny,William,Tenny,,,,,C,NA,1909,1912,,
Recurvon Terán,Recurvon,Terán,"5'7""",,,R,2B,NA,1915,1924,"1895								 (Havana, Cuba)",
Terrell,NA,Terrell,,,,,1B,NA,1911,1911,,
Lawrence Terrell,Lawrence,Terrell,"6'2""",185,,L,P,NA,1924,1925,"1/11/1906								 (Moberly, MO)",3/1965 (death place unknown)
Winslow Terrill,Winslow,Terrill,,,,,SS,NA,1887,1897,"1870								 (Boston, MA)","11/5/1897								 (Cambridge, MA)"
Tarcat Terry,Tarcat,Terry,,,,,2B,NA,1932,1936,,
Thomas,NA,Thomas,,,,,3B,NA,1917,1920,,
Thomas,NA,Thomas,,,,,CF,NA,1920,1920,,
Thomas,NA,Thomas,,,,,3B,NA,1918,1918,,
Arthur Thomas,Arthur,Thomas,,,,,1B,NA,1887,1891,"12/10/1864								 (Washington, DC)","8/8/1895								 (Trenton, NJ)"
C. Thomas,C.,Thomas,,,,,CF,NA,1910,1911,,
Charley Thomas,Charley,Thomas,,,,,C,NA,1920,1922,,
Clint Thomas,Clint,Thomas,"5'9""",186,R,R,CF,NA,1920,1938,"11/25/1896								 (Greenup, KY)","12/3/1990								 (Charleston, WV)"
Dan Thomas,Dan,Thomas,,,,,2B,NA,1927,1931,,
Dave Thomas,Dave,Thomas,"5'11""",168,L,L,1B,NA,1929,1946,"3/22/1905								 (Mobile, AL)","7/27/1968								 (Mobile, AL)"
Ewell Thomas,Ewell,Thomas,,,R,R,2B,NA,1922,1924,,
Herb Thomas,Herb,Thomas,,,,L,P,NA,1928,1930,1910 (birthplace unknown),
Ike Thomas,Ike,Thomas,,,,,2B,NA,1932,1932,,
J. Thomas,J.,Thomas,,,,,1B,NA,1887,1887,,
Jerome Thomas,Jerome,Thomas,,,,,1B,NA,1887,1887,,
Jules Thomas,Jules,Thomas,"5'11""",220,R,R,CF,NA,1908,1926,"12/13/1886								 (Powhatan County, VA)","12/10/1943								 (New York, NY)"
L. Thomas,L.,Thomas,,,,,C,NA,1929,1929,,
M. Thomas,M.,Thomas,,,,,P,NA,1919,1919,,
Walter Thomas,Walter,Thomas,"5'8""",170,R,R,P,RF,1935,1946,"10/22/1911								 (Mobile, AL)","9/28/1983								 (Big Rapids, MI)"
Thompson,NA,Thompson,,,,,RF,NA,1923,1923,,
Thompson,NA,Thompson,,,,,2B,NA,1926,1926,,
Thompson,NA,Thompson,,,,,LF,NA,1919,1919,,
Thompson,NA,Thompson,,,,,3B,NA,1926,1926,,
Thompson,NA,Thompson,,,,,P,NA,1922,1922,,
Thompson,NA,Thompson,,,,,2B,NA,1921,1921,,
Thompson,NA,Thompson,,,,,1B,NA,1921,1921,,
Thompson,NA,Thompson,,,,,P,NA,1908,1908,,
Thompson,NA,Thompson,,,,,2B,NA,1911,1911,,
Billy Thompson,Billy,Thompson,,,,,LF,NA,1900,1900,"1/14/1874								 (Louisa County, VA)","5/12/1960								 (Boston, MA)"
Gunboat Thompson,Gunboat,Thompson,,,,,P,NA,1913,1920,,
Harold Thompson,Harold,Thompson,,,,,P,NA,1931,1931,,
Sam Thompson,Sam,Thompson,"6'2""",158,R,R,P,NA,1932,1942,"5/27/1908								 (Sulligent, AL)","1/29/1978								 (Los Angeles, CA)"
Sam Thompson,Sam,Thompson,,,,,C,NA,1908,1911,2/20/1885 (birthplace unknown),
Sammy Thompson,Sammy,Thompson,,,,,2B,NA,1932,1932,,
Sandy Thompson,Sandy,Thompson,"5'9""",170,L,R,LF,NA,1917,1933,"6/5/1895								 (Marshall, TX)","6/21/1965								 (Proviso, IL)"
Wade Thompson,Wade,Thompson,,,R,R,P,NA,1922,1923,,
William Thompson,William,Thompson,,,,,C,NA,1887,1887,,
Thornton,NA,Thornton,,,,,C,NA,1932,1932,,
Jack Thornton,Jack,Thornton,"5'11""",175,R,R,1B,NA,1932,1937,"11/29/1909								 (Athens, GA)","11/4/2002								 (Chicago, IL)"
Clarence Thorpe,Clarence,Thorpe,"6'0""",180,,,P,NA,1928,1928,"11/5/1909								 (Philadelphia, PA)","7/1985								 (Philadelphia, PA)"
Thurman,NA,Thurman,,,,,RF,NA,1932,1932,,
Luis Tiant,Luis,Tiant,"5'10""",150,L,L,P,NA,1930,1947,"8/27/1906								 (Havana, Cuba)","12/10/1976								 (Milton, MA)"
Till,NA,Till,,,,,LF,NA,1933,1933,,
Arthur Tiller,Arthur,Tiller,,,,,RF,NA,1909,1911,,
Harold Tinker,Harold,Tinker,"5'9""",165,R,R,CF,NA,1931,1932,"3/23/1905								 (Birmingham, AL)","11/27/2000								 (Pittsburgh, PA)"
Tolliver,NA,Tolliver,,,,,P,NA,1921,1921,,
Abraham Tolosa,Abraham,Tolosa,,,L,L,P,NA,1919,1919,1898 (birthplace unknown),
Tomlin,NA,Tomlin,,,,,-,NA,1927,1927,,
Tomm,NA,Tomm,,,,,CF,NA,1917,1918,,
Tompkins,NA,Tompkins,,,,,RF,NA,1920,1920,,
Albert Toney,Albert,Toney,,,,R,SS,NA,1901,1916,3/3/1879 (birthplace unknown),
Lonnie Torian,Lonnie,Torian,,,,R,P,NA,1920,1920,"9/26/1895								 (Massac, KY)","3/19/1969								 (Paducah, KY)"
Gacho Torres,Gacho,Torres,"5'11""",172,L,L,LF,NA,1926,1926,"7/2/1896								 (Rio Piedras, Puerto Rico)","12/14/1963								 (Cayey, Puerto Rico)"
Cristóbal Torriente,Cristóbal,Torriente,"5'10""",190,L,L,CF,NA,1913,1932,"11/16/1893								 (Cienfuegos, Cuba)","4/11/1938								 (New York, NY)"
Towell,NA,Towell,,,,,P,NA,1922,1922,,
Townsend,NA,Townsend,,,,,RF,NA,1908,1908,,
Russell Trabue,Russell,Trabue,"5'11""",150,,,P,NA,1924,1924,"5/20/1900								 (Indianapolis, IN)","6/22/1988								 (Mitchellville, MD)"
Nat Trammell,Nat,Trammell,"6'0""",175,L,R,1B,NA,1930,1930,"8/8/1903								 (Key West, FL)","3/1973								 (Queens, NY)"
Harold Treadwell,Harold,Treadwell,"5'9""",168,,R,P,NA,1919,1928,"4/21/1897								 (Huntington, NY)",
Clarence Trealkill,Clarence,Trealkill,,,R,R,SS,NA,1929,1929,,
Ted Trent,Ted,Trent,"6'3""",185,R,R,P,NA,1927,1939,"12/17/1903								 (Jacksonville, FL)","1/10/1944								 (Chicago, IL)"
Norman Triplett,Norman,Triplett,,,,,CF,NA,1917,1917,"10/1893								 (LaMott, PA)",10/20/1918 (death place unknown)
Quincy Trouppe,Quincy,Trouppe,"6'2""",225,B,R,RF,C,1930,1948,"12/25/1912								 (Dublin, GA)","8/10/1993								 (Creve Coeur, MO)"
Shep Trusty,Shep,Trusty,,,,,P,NA,1887,1887,"5/10/1860								 (Philadelphia, PA)","10/25/1890								 (Atlantic City, NJ)"
Tubbs,NA,Tubbs,,,,,-,NA,1923,1923,,
Tuck,NA,Tuck,,,,,RF,NA,1934,1934,,
Orval Tucker,Orval,Tucker,,,R,R,2B,NA,1930,1930,,
Turner,NA,Turner,,,,R,P,NA,1928,1928,"1908								 (Muskogee, OK)",
Aggie Turner,Aggie,Turner,,,,R,RF,NA,1910,1914,"1893								 (Indianapolis, IN)","12/4/1916								 (Chicago, IL)"
Clem Turner,Clem,Turner,,,,,1B,NA,1926,1930,1906 (birthplace unknown),
Cool Turner,Cool,Turner,"5'10""",198,R,R,SS,NA,1921,1932,"9/11/1901								 (Brooklyn, NY)","2/3/1970								 (Durham, NC)"
J. O. Turner,J. O.,Turner,,,,,CF,NA,1887,1887,,
Jess Turner,Jess,Turner,,,,R,1B,NA,1911,1917,"7/6/1888								 (Mount Sterling, AL)",
Tuck Turner,Tuck,Turner,,,,R,P,NA,1923,1923,,
Dan Tye,Dan,Tye,"5'11""",178,,R,3B,NA,1930,1930,"11/9/1899								 (Barbourville, KY)","2/27/1965								 (Cincinnati, OH)"
Donald Tye,Donald,Tye,"5'11""",162,,L,P,NA,1936,1936,"3/7/1913								 (Lockland, OH)","6/15/1986								 (Cincinnati, OH)"
Eddie Tyler,Eddie,Tyler,,,,,RF,NA,1925,1925,,
Roy Tyler,Roy,Tyler,"5'9""",180,R,R,RF,NA,1925,1933,"12/5/1899								 (Olmstead, KY)","8/22/1984								 (Kalamazoo, MI)"
Steel Arm Tyler,Steel,Tyler,"5'8""",165,,R,P,NA,1925,1930,"9/26/1905								 (Evansville, IN)","1/1970								 (Elkton, KY)"
Ruby Tyrees,Ruby,Tyrees,"5'9""",167,R,R,P,NA,1916,1924,"7/22/1891								 (Liberty, MO)","11/23/1965								 (Wadsworth, KS)"
Uhler,NA,Uhler,,,,,RF,NA,1900,1900,,
Underwood,NA,Underwood,,,,,-,NA,1932,1932,,
John Vactor,John,Vactor,,,,,P,NA,1887,1887,,
Faustino Valdés,Faustino,Valdés,,,,,P,NA,1920,1920,,"10/31/1920								 (Havana, Cuba)"
Fermín Valdés,Fermín,Valdés,"5'7""",150,R,R,2B,NA,1931,1944,"8/16/1910								 (Guanabacoa, Cuba)",
Lucio Valdés,Lucio,Valdés,"5'6""",,,,P,NA,1920,1920,"1889								 (Havana, Cuba)",
Rogelio Valdés,Rogelio,Valdés,"5'11""",,R,R,LF,NA,1905,1911,"1882								 (Havana, Cuba)",
Simón Valdés,Simón,Valdés,,,L,R,2B,NA,1905,1911,1879 (birthplace unknown),
Eduardo Valdés Pérez,Eduardo,Pérez,,,L,L,P,NA,1915,1918,1885 (birthplace unknown),
Valdéz,NA,Valdéz,,,,,2B,NA,1932,1932,,
Jay Valentine,Jay,Valentine,,,,L,RF,NA,1914,1917,,
Columbus Vance,Columbus,Vance,"5'10""",170,B,L,P,NA,1927,1933,,
José Vargas,José,Vargas,"5'6""",,R,R,CF,NA,1935,1944,"1905								 (Manzanillo, Cuba)",
Tetelo Vargas,Tetelo,Vargas,"5'9""",142,R,R,SS,CF,1927,1943,"4/11/1906								 (Santo Domingo de Guzmán, D.R.)","12/30/1971								 (Guayama, Puerto Rico)"
Slim Vaughan,Slim,Vaughan,"6'1""",197,R,R,P,NA,1934,1934,"4/22/1910								 (Richmond, VA)","7/3/1992								 (Plainfield, NJ)"
Harry Vaughn,Harry,Vaughn,,,B,R,CF,NA,1926,1927,,
Andrés Vázquez,Andrés,Vázquez,,,L,L,LF,NA,1935,1935,,
Mario Veitía,Mario,Veitía,"5'7""",,,,3B,NA,1936,1936,"1910								 (Remedios, Cuba)",
John Veney,John,Veney,"5'9""",170,,,C,NA,1918,1918,"8/14/1889								 (Grottoes, VA)","12/28/1955								 (Homestead, PA)"
Manuel Villa,Manuel,Villa,"5'7""",,R,R,RF,NA,1909,1922,"3/24/1889								 (Havana, Cuba)",
Irving Vincent,Irving,Vincent,"5'9""",175,R,L,P,NA,1934,1934,"2/26/1909								 (Nashville, TN)","8/25/1977								 (St. Louis, MO)"
Johnnie Vivens,Johnnie,Vivens,"5'5""",149,,,P,NA,1929,1929,"5/22/1896								 (Fayette, MO)","2/2/1958								 (Columbia, MO)"
Ewing Waddy,Ewing,Waddy,"5'6""",156,L,L,P,NA,1932,1933,"10/3/1910								 (Allisona, TN)","7/1/1962								 (Marion County, IN)"
Lee Wade,Lee,Wade,,,,R,P,NA,1909,1920,1886 (birthplace unknown),
Arnold Waites,Arnold,Waites,"6'4""",179,,R,P,NA,1935,1937,"10/20/1914								 (Bastrop County, TX)",
Bert Wakefield,Bert,Wakefield,,,,,1B,NA,1900,1901,"5/1870								 (Troy, KS)",
Walker,NA,Walker,,,,,RF,NA,1913,1913,,
Admiral Walker,Admiral,Walker,"5'11""",185,R,R,P,NA,1923,1927,"9/5/1898								 (Navarro County, TX)","1/7/2001								 (Chicago, IL)"
Dick Walker,Dick,Walker,,,,,SS,NA,1907,1908,,
Edsall Walker,Edsall,Walker,"5'11""",215,B,L,P,NA,1936,1945,"9/15/1910								 (Catskill, NY)","2/19/1997								 (Catskill, NY)"
Hoss Walker,Hoss,Walker,"5'11""",190,R,R,SS,NA,1929,1948,"9/10/1904								 (Austin, TX)",
Laudie Walker,Laudie,Walker,,,,R,3B,NA,1921,1924,"10/22/1898								 (Wilkinsburg, PA)","12/21/1962								 (Wilkinsburg, PA)"
R. A. Walker,R. A.,Walker,,,,,3B,NA,1887,1887,,
Shorty Walker,Shorty,Walker,,,,,LF,NA,1932,1932,,
Welday Walker,Welday,Walker,,,,,C,NA,1887,1887,"7/27/1860								 (Steubenville, OH)","11/23/1937								 (Steubenville, OH)"
Eddie Wall,Eddie,Wall,"5'8""",145,,L,P,NA,1926,1926,"8/16/1903								 (St. Louis, MO)","7/4/1960								 (St. Louis, MO)"
Dick Wallace,Dick,Wallace,,,R,R,SS,NA,1907,1924,"7/22/1882								 (Owensboro, KY)","7/19/1925								 (St. Louis, MO)"
Jack Wallace,Jack,Wallace,,,R,R,2B,NA,1926,1931,,
Noisy Wallace,Noisy,Wallace,,,,,C,NA,1907,1909,,
Walters,NA,Walters,,,,,LF,NA,1912,1912,,
Clarence Walters,Clarence,Walters,,,,R,P,NA,1923,1923,1896 (birthplace unknown),
Chief Walton,Chief,Walton,,,,,SS,NA,1916,1921,,
Ronie Walton,Ronie,Walton,,,,,LF,NA,1909,1909,,
Ward,NA,Ward,,,,,2B,NA,1911,1911,,
Henry Ward,Henry,Ward,,,,,1B,NA,1908,1915,,
Pinky Ward,Pinky,Ward,,,,,CF,NA,1923,1932,,
Willie Ward,Willie,Ward,"5'7""",170,,,CF,NA,1932,1935,"11/3/1909								 (Atlantic City, NJ)","2/1987								 (Atlantic City, NJ)"
Ware,NA,Ware,,,,,-,NA,1923,1923,,
Joe Ware,Joe,Ware,"5'9""",195,R,R,CF,NA,1932,1935,"6/5/1913								 (Greenwood, SC)","1/10/1994								 (Pittsburgh, PA)"
Willie Ware,Willie,Ware,"6'2""",168,R,R,1B,NA,1924,1926,"8/16/1899								 (Terrell, TX)",
Frank Warfield,Frank,Warfield,"5'7""",160,R,R,2B,NA,1914,1932,"4/28/1899								 (Pembroke, KY)","7/24/1932								 (Pittsburgh, PA)"
Warmack,NA,Warmack,,,,,C,NA,1921,1921,,
H. P. Warmack,H. P.,Warmack,"5'11""",157,,,1B,NA,1911,1911,"10/7/1882								 (Maywood, IN)","8/6/1963								 (Indianapolis, IN)"
Sam Warmack,Sam,Warmack,,,,R,LF,NA,1922,1932,1899 (birthplace unknown),
Warren,NA,Warren,,,,,2B,NA,1918,1918,,
Warren,NA,Warren,,,,,P,NA,1921,1921,,
William Warrick,William,Warrick,,,,,LF,NA,1903,1906,,
Washington,NA,Washington,,,,,C,NA,1929,1929,,
Bull Washington,Bull,Washington,,,,,1B,NA,1909,1909,,
Edgar Washington,Edgar,Washington,"6'2""",175,,,1B,NA,1920,1920,"2/26/1898								 (Los Angeles, CA)","9/15/1970								 (Los Angeles, CA)"
George Washington,George,Washington,,,,,P,NA,1906,1908,"1874								 (Savannah, GA)","7/1/1908								 (Winsted, CT)"
Jasper Washington,Jasper,Washington,"6'3""",230,R,R,1B,NA,1921,1933,"9/13/1896								 (Dunbar, PA)","2/16/1960								 (Pittsburgh, PA)"
Johnny Washington,Johnny,Washington,"6'2""",185,L,R,1B,NA,1936,1948,"1/9/1916								 (Montgomery, AL)","7/22/1984								 (Detroit, MI)"
Namon Washington,Namon,Washington,"5'6""",148,,R,LF,NA,1920,1933,"6/20/1894								 (Hallettsville, TX)","5/1971								 (New York, NY)"
Pete Washington,Pete,Washington,"5'9""",160,R,L,CF,NA,1923,1936,"6/25/1903								 (Albany, GA)","9/4/1962								 (Philadelphia, PA)"
Rube Washington,Rube,Washington,,,,,P,NA,1908,1911,,
Tom Washington,Tom,Washington,,,,,C,NA,1905,1915,,
William Washington,William,Washington,,,,,C,NA,1906,1911,1885 (birthplace unknown),
Waters,NA,Waters,,,,,P,NA,1920,1920,,
Ted Waters,Ted,Waters,"5'10""",150,R,R,LF,NA,1925,1928,"11/17/1902								 (Marion, MD)","3/29/1966								 (Philadelphia, PA)"
Pop Watkins,Pop,Watkins,,,,R,1B,NA,1898,1898,"5/18/1870								 (Augusta, GA)","2/22/1924								 (Durham, NC)"
Wild Dan Watkins,Wild,Watkins,,,,,P,NA,1911,1911,1888 (birthplace unknown),
Bill Watson,Bill,Watson,,,,,RF,NA,1925,1925,,
David Watson,David,Watson,,,,R,P,NA,1923,1923,,
George Watson,George,Watson,"5'4""",,,R,3B,NA,1914,1915,6/6/1881 (birthplace unknown),
Johnie Watson,Johnie,Watson,"5'10""",175,,,LF,NA,1917,1926,"1/5/1896								 (Beaumont, TX)","7/13/1958								 (Philadelphia, PA)"
Charlie Watts,Charlie,Watts,,,,R,2B,NA,1924,1927,,
Jack Watts,Jack,Watts,,133,R,,C,NA,1913,1921,1887 (birthplace unknown),
William Weaver,William,Weaver,,,,,RF,NA,1906,1909,,
Webb,NA,Webb,,,,,P,NA,1917,1919,,
Baby Webb,Baby,Webb,,,,,1B,NA,1908,1910,,
Lon Webb,Lon,Webb,,,,,2B,NA,1907,1909,,
Dan Webster,Dan,Webster,"5'10""",160,,R,P,NA,1936,1937,"3/26/1912								 (Montgomery, AL)","6/5/1988								 (Detroit, MI)"
Pearl Webster,Pearl,Webster,,,L,R,C,NA,1911,1918,"7/8/1889								 (Wayland, MO)",11/16/1918 (death place unknown)
William Webster,William,Webster,,,,R,C,NA,1915,1933,"6/1/1896								 (Atlanta, GA)",
Welch,NA,Welch,,,,,C,NA,1900,1900,,
Willie Wells,Willie,Wells,"5'9""",170,R,R,SS,NA,1924,1948,"8/10/1904								 (Shawnee, OK)","1/22/1989								 (Austin, TX)"
Roy Welmaker,Roy,Welmaker,"6'0""",200,B,L,P,NA,1932,1945,"12/6/1913								 (Atlanta, GA)","2/3/1998								 (Decatur, GA)"
Charles Wesley,Charles,Wesley,,154,R,R,2B,-,1921,1939,"7/4/1896								 (Montgomery, AL)","3/5/1944								 (Panama City, FL)"
Edgar Wesley,Edgar,Wesley,"5'11""",215,L,L,1B,NA,1917,1927,"5/2/1891								 (Waco, TX)","7/12/1966								 (Austin, TX)"
West,NA,West,,,,,P,NA,1930,1930,,
Jim West,Jim,West,"6'0""",218,B,R,1B,NA,1930,1948,"8/9/1911								 (Mobile, AL)","6/1970								 (Philadelphia, PA)"
Wild Bill West,Wild,West,,,,,RF,NA,1907,1914,1875 (birthplace unknown),
Joe Wheeler,Joe,Wheeler,,165,R,R,P,NA,1921,1925,1898 (birthplace unknown),
White,NA,White,,,,,P,NA,1909,1909,,
Arthur White,Arthur,White,,,,,P,NA,1934,1936,,
Burlin White,Burlin,White,"5'8""",174,,R,C,NA,1915,1933,"2/5/1895								 (Richmond, VA)","4/5/1971								 (Bedford, MA)"
Butler White,Butler,White,"6'0""",202,,,1B,NA,1920,1920,"3/21/1892								 (Clinton, KY)","9/2/1954								 (Chicago, IL)"
Chaney White,Chaney,White,"5'10""",196,R,L,CF,NA,1920,1936,"4/15/1894								 (Longview, TX)","2/23/1967								 (Philadelphia, PA)"
Clarence White,Clarence,White,,,,L,P,NA,1928,1940,1901 (birthplace unknown),
Clifford White,Clifford,White,,,,R,C,NA,1915,1916,"3/22/1894								 (South McAlester, OK)",
Dolph White,Dolph,White,,,,L,P,NA,1912,1914,"7/24/1893								 (Paterson, NJ)","1/7/1972								 (Paterson, NJ)"
Eugene White,Eugene,White,,,,R,3B,NA,1935,1935,,
James White,James,White,,,,,2B,NA,1922,1922,,
Johnnie White,Johnnie,White,,,,,RF,NA,1907,1908,,
M. White,M.,White,,,,,CF,NA,1887,1887,,
Robert White,Robert,White,,,R,R,2B,NA,1923,1923,,
Sol White,Sol,White,,,R,R,2B,NA,1887,1907,"6/12/1868								 (Bellaire, OH)","8/26/1955								 (Central Islip, NY)"
Steve White,Steve,White,,,,,CF,NA,1925,1925,,
Whitlock,NA,Whitlock,,,,,1B,NA,1926,1926,,
Dick Whitworth,Dick,Whitworth,"6'5""",215,R,R,P,NA,1914,1924,"8/28/1895								 (St. Louis, MO)","3/1966								 (St. Louis, MO)"
Billy Whyte,Billy,Whyte,,,,,P,NA,1888,1888,"4/10/1860								 (Bristol, RI)","5/16/1911								 (Trenton, NJ)"
Wickham,NA,Wickham,,,,,LF,NA,1914,1914,,
Elmer Wicks,Elmer,Wicks,,,,,3B,NA,1922,1924,"8/8/1895								 (Crisfield, MD)",
Frank Wickware,Frank,Wickware,"5'10""",180,R,R,P,NA,1910,1921,"3/18/1888								 (Girard, KS)","11/2/1967								 (Schenectady, NY)"
D. Wiggins,D.,Wiggins,,,,,1B,NA,1923,1923,,
Joe Wiggins,Joe,Wiggins,"5'10""",160,,R,3B,NA,1930,1934,"9/19/1906								 (Dinwiddie County, VA)","10/25/1984								 (Cleveland, OH)"
Doc Wiley,Doc,Wiley,"6'1""",190,R,R,C,NA,1909,1923,"2/1/1887								 (Vernon, LA)","11/3/1944								 (Jersey City, NJ)"
Fred Wiley,Fred,Wiley,,,,,P,NA,1920,1927,"3/28/1895								 (Pike County, GA)",
Sam Wiley,Sam,Wiley,,,,,3B,NA,1910,1910,,
Rabbit Wilkins,Rabbit,Wilkins,,,,R,CF,NA,1909,1910,,
Wilkinson,NA,Wilkinson,,,,,LF,NA,1906,1906,,
Pete Willett,Pete,Willett,,,,,SS,NA,1923,1928,,
Williams,NA,Williams,,,,,LF,NA,1906,1906,,
Williams,NA,Williams,,,,,C,NA,1927,1927,,
Williams,NA,Williams,,,,,RF,NA,1906,1906,,
Williams,NA,Williams,,,,,SS,NA,1914,1915,,
Williams,NA,Williams,,,,,3B,NA,1931,1931,,
Williams,NA,Williams,,,,,RF,P,1936,1943,,
Williams,NA,Williams,,,,,RF,-,1936,1944,,
Williams,NA,Williams,,,,,1B,NA,1930,1930,,
Adam Williams,Adam,Williams,,,,R,2B,NA,1924,1924,,
Andy Williams,Andy,Williams,,,,,1B,NA,1934,1934,,
Bill Williams,Bill,Williams,,,,,P,NA,1928,1928,,
Bob Williams,Bob,Williams,,,,,LF,NA,1932,1932,,
Bobby Williams,Bobby,Williams,"5'5""",140,R,R,SS,NA,1917,1934,"9/30/1895								 (New Orleans, LA)","12/30/1978								 (Pittsburgh, PA)"
Bucky Williams,Bucky,Williams,"5'6""",165,,,3B,NA,1933,1933,"12/15/1906								 (Baltimore, MD)","11/16/2009								 (Penn Hills, PA)"
Charles Williams,Charles,Williams,,,,,2B,NA,1887,1887,,
Charlie Williams,Charlie,Williams,,,,R,2B,NA,1921,1931,"3/9/1903								 (Mobile, AL)","7/6/1931								 (Chicago, IL)"
Chester Williams,Chester,Williams,"5'9""",180,R,R,SS,NA,1930,1942,"5/25/1906								 (Beaumont, TX)","12/25/1952								 (Lake Charles, LA)"
Clarence Williams,Clarence,Williams,,,R,R,C,NA,1887,1913,"1/27/1866								 (Harrisburg, PA)","9/23/1934								 (Atlantic City, NJ)"
D. Williams,D.,Williams,,,,,LF,NA,1921,1921,,
Dee Williams,Dee,Williams,,,,,LF,NA,1909,1911,"5/1884								 (Topeka, KS)","12/23/1911								 (Kansas City, KS)"
Dock Williams,Dock,Williams,,,,,RF,NA,1927,1927,,
Ed Williams,Ed,Williams,,,,,P,NA,1932,1932,,
Elbert Williams,Elbert,Williams,,,,R,P,NA,1929,1935,,
Fred Williams,Fred,Williams,,,,,C,NA,1921,1924,,
George Williams,George,Williams,,,,,1B,NA,1887,1906,3/1864 (birthplace unknown),"1/9/1918								 (Philadelphia, PA)"
Gerard Williams,Gerard,Williams,,,R,R,SS,NA,1921,1925,,
