player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Bill Force,Bill,Force,"5'9""",165,R,R,P,NA,1921,1930,"7/17/1895								 (Walker County, GA)","4/2/1969								 (Norfolk, VA)"
Bill Ford,Bill,Ford,"5'10""",165,,,RF,NA,1911,1915,"4/5/1880								 (Urbana, OH)","9/1/1962								 (Cleveland, OH)"
Bob Ford,Bob,Ford,,,,,RF,NA,1918,1918,,
George Ford,George,Ford,,,,,SS,NA,1920,1924,,
John Ford,John,Ford,"5'6""",155,,,P,NA,1917,1917,"9/22/1894								 (Ambler, PA)",3/8/1947 (death place unknown)
Sylvester Foreman,Sylvester,Foreman,,,R,R,C,NA,1921,1932,"8/4/1895								 (Foreman, OK)","8/23/1940								 (Kansas City, MO)"
Zack Foreman,Zack,Foreman,,,,R,P,NA,1920,1921,"7/23/1893								 (Foreman, OK)","9/18/1921								 (Foreman, OK)"
James Forrest,James,Forrest,,,,R,C,NA,1919,1921,"12/18/1897								 (Orangeburg, SC)",4/22/1977 (death place unknown)
Forsythe,NA,Forsythe,,,,,-,NA,1924,1924,,
Leland Foster,Leland,Foster,"5'11""",136,,,P,NA,1932,1932,"7/17/1910								 (Monroe, LA)",
Red Foster,Red,Foster,,,,,1B,NA,1907,1911,,
Rube Foster,Rube,Foster,"5'9""",230,R,R,P,NA,1902,1917,"9/17/1879								 (La Grange, TX)","12/9/1930								 (Kankakee, IL)"
Willie Foster,Willie,Foster,"6'0""",190,B,L,P,NA,1923,1937,"6/12/1904								 (Calvert, TX)","9/16/1978								 (Lorman, MS)"
Fox,NA,Fox,,,,,RF,NA,1930,1930,,
Fox,NA,Fox,,,,,-,NA,1923,1923,,
Bill Francis,Bill,Francis,"5'5""",140,R,R,3B,NA,1906,1925,"2/28/1879								 (Philadelphia, PA)","1/26/1942								 (Chicago, IL)"
Otis Francis,Otis,Francis,,,,R,2B,NA,1909,1920,"2/14/1891								 (Indianapolis, IN)","5/5/1940								 (Indianapolis, IN)"
L. Franklin,L.,Franklin,,,,,RF,NA,1917,1917,,
Flash Frazier,Flash,Frazier,,,,,SS,NA,1932,1932,,
Oran Frazier,Oran,Frazier,"5'6""",160,,R,2B,NA,1932,1932,"11/26/1908								 (Montgomery, AL)","8/15/1992								 (Selma, AL)"
Freeman,NA,Freeman,,,,,RF,NA,1891,1891,,
Bill Freeman,Bill,Freeman,,,,,P,NA,1925,1933,,
Jack Frye,Jack,Frye,,,,,1B,NA,1887,1891,"5/1864								 (Harrisburg, PA)","6/10/1904								 (Brandy Station, VA)"
Jimmy Fuller,Jimmy,Fuller,"5'7""",145,,R,C,NA,1912,1927,"12/18/1892								 (Raleigh, NC)","12/25/1987								 (New York, NY)"
William Fuller,William,Fuller,,,,R,2B,NA,1915,1918,"8/2/1889								 (New York, NY)",
Mauricio Funes,Mauricio,Funes,"5'5""",,,,LF,NA,1925,1930,"1904								 (Havana, Cuba)",
Gabe,NA,Gabe,,,,,P,NA,1925,1925,,
Gus Gadsden,Gus,Gadsden,,,,,LF,NA,1932,1932,,
Gailey,NA,Gailey,,,,,1B,NA,1897,1897,,
Bill Galloway,Bill,Galloway,,,,,3B,NA,1900,1900,"(Dunnville, Canada)",
Cándido Gálvez,Cándido,Gálvez,"6'2""",,,,P,NA,1929,1932,"1901								 (Havana, Cuba)",
William Gamble,William,Gamble,,,,,P,NA,1921,1921,,
Márgaro Gámiz,Márgaro,Gámiz,"5'6""",,,R,C,NA,1926,1929,"1905								 (Havana, Cuba)",
Judy Gans,Judy,Gans,"5'11""",172,L,L,LF,NA,1908,1925,"7/16/1886								 (Washington, PA)","2/13/1949								 (Philadelphia, PA)"
Henry Gant,Henry,Gant,,,,,3B,NA,1887,1891,,
Chano García,Chano,García,"5'3""",,,R,2B,NA,1926,1927,"1903								 (Caibarién, Cuba)",
Cocaína García,Cocaína,García,"5'8""",185,L,L,P,NA,1927,1944,"12/28/1905								 (Manacas, Cuba)","4/13/1995								 (Carabelleda, Venezuela)"
Regino García,Regino,García,"5'6""",,R,R,C,NA,1905,1912,"1875								 (Matanzas, Cuba)",
Silvio García,Silvio,García,"6'0""",195,R,R,3B,SS,1936,1947,"10/11/1913								 (Limonar, Cuba)","8/28/1977								 (Matanzas, Cuba)"
Gardner,NA,Gardner,,,,R,P,NA,1923,1923,,
Gardner,NA,Gardner,,,,,2B,NA,1932,1932,,
Jelly Gardner,Jelly,Gardner,"5'7""",160,L,R,RF,NA,1917,1931,"9/27/1895								 (Russellville, AR)","3/28/1977								 (Chicago, IL)"
Ping Gardner,Ping,Gardner,"5'9""",157,,R,P,NA,1920,1932,"3/5/1899								 (Washington, DC)","3/9/1984								 (Charlottesville, VA)"
Garey,NA,Garey,,,,,C,NA,1925,1925,,
Frank Garrett,Frank,Garrett,,,,,SS,NA,1887,1887,,
Tom Garrett,Tom,Garrett,,,,,LF,NA,1930,1936,,
Dick Garrison,Dick,Garrison,"5'5""",145,,,P,NA,1908,1908,"5/28/1886								 (Pittsburgh, PA)",
Ross Garrison,Ross,Garrison,,,,R,CF,NA,1897,1898,"1867								 (Pittsburgh, PA)","1/17/1932								 (Pittsburgh, PA)"
Robert Gaston,Robert,Gaston,"6'1""",185,R,R,C,NA,1932,1948,"3/19/1910								 (Chattanooga, TN)","2/11/2000								 (Pittsburgh, PA)"
Bill Gatewood,Bill,Gatewood,"6'0""",195,R,R,P,NA,1906,1927,"8/22/1881								 (San Antonio, TX)","12/8/1962								 (Columbia, MO)"
Ernest Gatewood,Ernest,Gatewood,,,,R,C,NA,1914,1927,"10/15/1890								 (Washington, DC)","8/21/1949								 (Asheville, NC)"
